"Local Authority","School Type","Year Group","Year","Walk","Cycle","Scooter / Skate","Park & Stride","Driven","Bus","Taxi","Other"
"Aberdeenshire","Primary","P5-P7",2010,0.489,0.068,0.003,0.09,0.197,0.135,0.016,0.002
"Aberdeenshire","Primary","P5-P7",2011,0.471159029649596,0.0566037735849057,NA,0.106019766397125,0.202156334231806,0.139802336028751,0.0152740341419587,NA
"Aberdeenshire","Primary","P5-P7",2012,0.47507072135785,0.0652404526166902,0.0157355021216407,0.0972418670438472,0.183521923620934,0.146923620933522,0.01502828854314,0.00123762376237624
"Aberdeenshire","Primary","P5-P7",2013,0.484091239285195,0.0613104750835392,0.0191776841493535,0.0974865610925469,0.186837134970216,0.135551358419294,0.0132209792241755,0.00232456777567921
"Aberdeenshire","Primary","P5-P7",2014,0.479956068094454,0.0499725425590335,0.0308896210873147,0.105848434925865,0.195496979681494,0.127127951674904,NA,NA
"Aberdeenshire","Secondary ","S1-S3",2008,0.382,0.021,NA,0.033,0.096,0.451,0.012,NA
"Aberdeenshire","Secondary ","S1-S3",2009,0.402,0.017,0.002,0.03,0.106,0.427,0.012,0.004
"Aberdeenshire","Secondary ","S1-S3",2010,0.404,0.016,NA,0.025,0.103,0.437,0.009,NA
"Aberdeenshire","Secondary ","S1-S3",2011,0.406034482758621,0.0153735632183908,0.00201149425287356,0.0280172413793103,0.102155172413793,0.432614942528736,0.0109195402298851,0.0028735632183908
"Aberdeenshire","Secondary ","S1-S3",2012,0.430074457753318,0.0131110391712528,NA,0.0292975072839107,0.0976044027193266,0.418743930074458,0.010359339592101,NA
"Aberdeenshire","Secondary ","S1-S3",2013,0.399314353853033,0.0129676553882844,0.000745267551050827,0.0274258458786704,0.0950961395140856,0.451184975406171,0.0122223878372336,0.00104337457147116
"Aberdeenshire","Secondary ","S1-S3",2014,0.404694990907588,0.0171929244503224,0.00347164820631509,0.0252934369317243,0.114399074227145,0.423541081170441,0.0114068441064639,0
"Aberdeenshire","Secondary ","S4-S6",2008,0.397,0.027,0.005,0.025,0.125,0.407,0.01,0.005
"Aberdeenshire","Secondary ","S4-S6",2009,0.383,0.02,0.003,0.026,0.136,0.419,0.011,0.003
"Aberdeenshire","Secondary ","S4-S6",2010,0.374,0.013,NA,0.027,0.136,0.438,0.007,NA
"Aberdeenshire","Secondary ","S4-S6",2011,0.394292855655072,0.0118725265569673,0.00541553842949386,0.0231201832951468,0.135596750676942,0.420329098104562,0.00666527806706936,0.00270776921474693
"Aberdeenshire","Secondary ","S4-S6",2012,0.396699819168174,0.0391048824593128,0.00203435804701627,0.0189873417721519,0.120479204339964,0.410488245931284,0.00971971066907776,0.00248643761301989
"Aberdeenshire","Secondary ","S4-S6",2013,0.401054852320675,0.0135021097046414,0.00337552742616034,0.0282700421940928,0.132489451476793,0.40464135021097,0.0139240506329114,0.00274261603375527
"Aberdeenshire","Secondary ","S4-S6",2014,0.386630532971996,0.00858175248419151,0.00383920505871725,0.018970189701897,0.133920505871725,0.436314363143631,0.0101626016260163,0.00158084914182475
"Aberdeenshire","SEN","P1-P4",2008,NA,NA,0,0.136,NA,0.705,NA,0
"Aberdeenshire","SEN","P1-P4",2009,0,0,0,0,NA,0.85,NA,0
"Aberdeenshire","SEN","P1-P4",2010,0,0,0,0,0.09,0.231,0.679,0
"Aberdeenshire","SEN","P1-P4",2011,0,0,0,0,0,0.789473684210526,0.210526315789474,0
"Aberdeenshire","SEN","P1-P4",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","P1-P4",2013,0,0,0,0,NA,0.810344827586207,0.172413793103448,NA
"Aberdeenshire","SEN","P1-P4",2014,0,0,0,0,NA,0.8125,0,NA
"Aberdeenshire","SEN","P5-P7",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","P5-P7",2009,0,0,0,0,NA,0.778,0.185,NA
"Aberdeenshire","SEN","P5-P7",2010,0,0,0,0,0,0.537,0.463,0
"Aberdeenshire","SEN","P5-P7",2011,0,0,0,0,0,0.875,0.125,0
"Aberdeenshire","SEN","P5-P7",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","P5-P7",2013,0,0,0,0,NA,0.645161290322581,0.32258064516129,NA
"Aberdeenshire","SEN","P5-P7",2014,0,0,0,0,0,1,0,0
"Aberdeenshire","SEN","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S1-S3",2010,0,0,0,0,NA,0.683,0.293,NA
"Aberdeenshire","SEN","S1-S3",2011,0,0,0,0,NA,0.486111111111111,0.5,NA
"Aberdeenshire","SEN","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S1-S3",2013,0,0,0,0,0,0.743589743589744,0.256410256410256,0
"Aberdeenshire","SEN","S1-S3",2014,NA,0,0,0,0,0.933333333333333,NA,0
"Aberdeenshire","SEN","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S4-S6",2010,NA,NA,0,0,0,0.737,0.184,0
"Aberdeenshire","SEN","S4-S6",2011,NA,0,0,0,NA,0.509803921568627,0.431372549019608,0
"Aberdeenshire","SEN","S4-S6",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","SEN","S4-S6",2013,0,NA,0,0,0.186046511627907,0.697674418604651,NA,0
"Aberdeenshire","SEN","S4-S6",2014,0,0,0,0,NA,0.909090909090909,0,NA
"Aberdeenshire","Independent","P1-P4",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P1-P4",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P1-P4",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P1-P4",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P1-P4",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P1-P4",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P1-P4",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Primary","P1-P4",2008,0.491,0.013,NA,0.07,0.289,0.111,0.018,NA
"Angus","Primary","P1-P4",2009,0.56,0.01,0.004,0.074,0.293,0.042,0.015,0.002
