"Local Authority","School Type","Year Group","Year","Walk","Cycle","Scooter / Skate","Park & Stride","Driven","Bus","Taxi","Other"
"Aberdeenshire","Independent","P1-P4",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P1-P4",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P1-P4",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P1-P4",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","P5-P7",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S1-S3",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeenshire","Independent","S4-S6",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Primary","P1-P4",2008,1866.291,49.413,NA,266.07,1098.489,421.911,68.418,NA
"Angus","Primary","P1-P4",2009,1994.16,35.61,14.244,263.514,1043.373,149.562,53.415,7.122
"Angus","Primary","P1-P4",2010,1553.468,45.78,9.156,216.692,1010.212,167.86,42.728,6.104
"Angus","Primary","P1-P4",2011,1679,45,21,246,1032,147,70,8
"Angus","Primary","P1-P4",2012,1632,77,52,229,1039,202,NA,NA
"Angus","Primary","P1-P4",2013,1338,72,75,189,750,202,32,0
"Angus","Primary","P1-P4",2014,1770,114,136,293,1122,217,49,0
"Angus","Primary","P5-P7",2008,1631.721,105.084,5.838,230.601,563.367,329.847,46.704,5.838
